,Symbol,Date,Pressure,Call_Open_Int,Put_Open_Int,Call_ROI,Put_ROI
1428,GGB,2016-10-26,0.5,3710.0,653.0,-0.5833333333333334,-0.4
1429,GES,2016-10-06,0.4,151.0,2740.0,-0.29411764705882354,0.0714285714285715
1430,GES,2016-10-12,0.6,113.0,425.0,-0.36,0.16666666666666669
1431,GES,2016-10-25,0.5,191.0,469.0,-0.4117647058823529,0.13636363636363627
1432,GES,2016-10-26,0.4,198.0,469.0,-0.1250000000000001,-0.20833333333333334
1433,GE,2016-10-06,0.6,3739.0,6385.0,-0.391304347826087,0.25333333333333324
1434,GE,2016-10-10,0.5,3993.0,6490.0,-0.202247191011236,-0.03191489361702119
1435,GE,2016-10-11,0.5,3958.0,6497.0,-0.03947368421052635,-0.14141414141414144
1436,GE,2016-10-12,0.5,3994.0,6504.0,0.0,-0.26
1437,GE,2016-10-14,0.4,106.0,86.0,-0.21666666666666667,-0.4074074074074075
1438,GE,2016-10-17,0.5,108.0,104.0,-0.35937500000000006,-0.3142857142857143
1439,GE,2016-10-18,0.5,108.0,104.0,-0.5084745762711864,-0.16901408450704225
1440,GE,2016-10-19,0.5,116.0,104.0,-0.34920634920634924,-0.26562500000000006
1441,GE,2016-10-20,0.5,104.0,104.0,-0.5882352941176471,0.08620689655172423
1442,GE,2016-10-24,0.5,192.0,100.0,0.17647058823529405,-0.19607843137254907
